x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=StartupInfoLogger.java serverEventDatetime="2025-04-01 22:10:15,560" logLevel=INFO threadName=main  message="Starting CredentialsgeneratorApplication using Java 21.0.6 with PID 14724 (/home/senioravanti/__Projects/java-kotlin-spring/java/drafts/credentialsgenerator/build/classes/java/main started by senioravanti in /home/senioravanti/__Projects/java-kotlin-spring/java/drafts/credentialsgenerator)" exception="" callerLine=53 callerMethod="Caller+0	 at org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:53)u2028Caller+1	 at org.springframework.boot.SpringApplication.logStartupInfo(SpringApplication.java:625)u2028Caller+2	 at org.springframework.boot.SpringApplication.prepareContext(SpringApplication.java:388)u2028Caller+3	 at org.springframework.boot.SpringApplication.run(SpringApplication.java:317)u2028Caller+4	 at org.springframework.boot.SpringApplication.run(SpringApplication.java:1361)u2028" loggerName="pplication" callerClass=r.m.c.CredentialsgeneratorApplication levelStr="INFO" levelInt="INFO" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=StartupInfoLogger.java serverEventDatetime="2025-04-01 22:10:15,562" logLevel=DEBUG threadName=main  message="Running with Spring Boot v3.4.2, Spring v6.2.2" exception="" callerLine=54 callerMethod="Caller+0	 at org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:54)u2028Caller+1	 at org.springframework.boot.SpringApplication.logStartupInfo(SpringApplication.java:625)u2028Caller+2	 at org.springframework.boot.SpringApplication.prepareContext(SpringApplication.java:388)u2028Caller+3	 at org.springframework.boot.SpringApplication.run(SpringApplication.java:317)u2028Caller+4	 at org.springframework.boot.SpringApplication.run(SpringApplication.java:1361)u2028" loggerName="pplication" callerClass=r.m.c.CredentialsgeneratorApplication levelStr="DEBUG" levelInt="DEBUG" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=SpringApplication.java serverEventDatetime="2025-04-01 22:10:15,563" logLevel=INFO threadName=main  message="No active profile set, falling back to 1 default profile: 'default'" exception="" callerLine=652 callerMethod="Caller+0	 at org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:652)u2028Caller+1	 at org.springframework.boot.SpringApplication.prepareContext(SpringApplication.java:389)u2028Caller+2	 at org.springframework.boot.SpringApplication.run(SpringApplication.java:317)u2028Caller+3	 at org.springframework.boot.SpringApplication.run(SpringApplication.java:1361)u2028Caller+4	 at org.springframework.boot.SpringApplication.run(SpringApplication.java:1350)u2028" loggerName="pplication" callerClass=r.m.c.CredentialsgeneratorApplication levelStr="INFO" levelInt="INFO" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=TomcatWebServer.java serverEventDatetime="2025-04-01 22:10:16,207" logLevel=INFO threadName=main  message="Tomcat initialized with port 8003 (http)" exception="" callerLine=111 callerMethod="Caller+0	 at org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:111)u2028Caller+1	 at org.springframework.boot.web.embedded.tomcat.TomcatWebServer.<init>(TomcatWebServer.java:107)u2028Caller+2	 at org.springframework.boot.web.embedded.tomcat.TomcatServletWebServerFactory.getTomcatWebServer(TomcatServletWebServerFactory.java:516)u2028Caller+3	 at org.springframework.boot.web.embedded.tomcat.TomcatServletWebServerFactory.getWebServer(TomcatServletWebServerFactory.java:222)u2028Caller+4	 at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.createWebServer(ServletWebServerApplicationContext.java:188)u2028" loggerName="tWebServer" callerClass=o.s.b.w.embedded.tomcat.TomcatWebServer levelStr="INFO" levelInt="INFO" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=DirectJDKLog.java serverEventDatetime="2025-04-01 22:10:16,217" logLevel=INFO threadName=main  message="Initializing ProtocolHandler ['http-nio-0.0.0.0-8003']" exception="" callerLine=173 callerMethod="Caller+0	 at org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)u2028Caller+1	 at org.apache.juli.logging.DirectJDKLog.info(DirectJDKLog.java:116)u2028Caller+2	 at org.apache.coyote.AbstractProtocol.init(AbstractProtocol.java:611)u2028Caller+3	 at org.apache.coyote.http11.AbstractHttp11Protocol.init(AbstractHttp11Protocol.java:82)u2028Caller+4	 at org.apache.catalina.connector.Connector.initInternal(Connector.java:1028)u2028" loggerName="ioProtocol" callerClass=o.apache.coyote.http11.Http11NioProtocol levelStr="INFO" levelInt="INFO" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=DirectJDKLog.java serverEventDatetime="2025-04-01 22:10:16,219" logLevel=INFO threadName=main  message="Starting service [Tomcat]" exception="" callerLine=173 callerMethod="Caller+0	 at org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)u2028Caller+1	 at org.apache.juli.logging.DirectJDKLog.info(DirectJDKLog.java:116)u2028Caller+2	 at org.apache.catalina.core.StandardService.startInternal(StandardService.java:409)u2028Caller+3	 at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164)u2028Caller+4	 at org.apache.catalina.core.StandardServer.startInternal(StandardServer.java:870)u2028" loggerName="ardService" callerClass=o.apache.catalina.core.StandardService levelStr="INFO" levelInt="INFO" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=DirectJDKLog.java serverEventDatetime="2025-04-01 22:10:16,219" logLevel=INFO threadName=main  message="Starting Servlet engine: [Apache Tomcat/10.1.34]" exception="" callerLine=173 callerMethod="Caller+0	 at org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)u2028Caller+1	 at org.apache.juli.logging.DirectJDKLog.info(DirectJDKLog.java:116)u2028Caller+2	 at org.apache.catalina.core.StandardEngine.startInternal(StandardEngine.java:199)u2028Caller+3	 at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164)u2028Caller+4	 at org.apache.catalina.core.StandardService.startInternal(StandardService.java:415)u2028" loggerName="dardEngine" callerClass=org.apache.catalina.core.StandardEngine levelStr="INFO" levelInt="INFO" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=DirectJDKLog.java serverEventDatetime="2025-04-01 22:10:16,254" logLevel=INFO threadName=main  message="Initializing Spring embedded WebApplicationContext" exception="" callerLine=173 callerMethod="Caller+0	 at org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)u2028Caller+1	 at org.apache.juli.logging.DirectJDKLog.info(DirectJDKLog.java:116)u2028Caller+2	 at org.apache.catalina.core.ApplicationContext.log(ApplicationContext.java:574)u2028Caller+3	 at org.apache.catalina.core.ApplicationContextFacade.log(ApplicationContextFacade.java:235)u2028Caller+4	 at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(ServletWebServerApplicationContext.java:286)u2028" loggerName="st].[/api]" callerClass=o.a.c.c.C.[Tomcat].[localhost].[/api] levelStr="INFO" levelInt="INFO" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=ServletWebServerApplicationContext.java serverEventDatetime="2025-04-01 22:10:16,255" logLevel=INFO threadName=main  message="Root WebApplicationContext: initialization completed in 654 ms" exception="" callerLine=296 callerMethod="Caller+0	 at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(ServletWebServerApplicationContext.java:296)u2028Caller+1	 at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.selfInitialize(ServletWebServerApplicationContext.java:237)u2028Caller+2	 at org.springframework.boot.web.embedded.tomcat.TomcatStarter.onStartup(TomcatStarter.java:52)u2028Caller+3	 at org.apache.catalina.core.StandardContext.startInternal(StandardContext.java:4426)u2028Caller+4	 at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164)u2028" loggerName="ionContext" callerClass=o.s.b.w.s.c.ServletWebServerApplicationContext levelStr="INFO" levelInt="INFO" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=DirectJDKLog.java serverEventDatetime="2025-04-01 22:10:16,558" logLevel=INFO threadName=main  message="Starting ProtocolHandler ['http-nio-0.0.0.0-8003']" exception="" callerLine=173 callerMethod="Caller+0	 at org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173)u2028Caller+1	 at org.apache.juli.logging.DirectJDKLog.info(DirectJDKLog.java:116)u2028Caller+2	 at org.apache.coyote.AbstractProtocol.start(AbstractProtocol.java:640)u2028Caller+3	 at org.apache.catalina.connector.Connector.startInternal(Connector.java:1058)u2028Caller+4	 at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164)u2028" loggerName="ioProtocol" callerClass=o.apache.coyote.http11.Http11NioProtocol levelStr="INFO" levelInt="INFO" mdc= 
x-b3-traceid= x-b3-spanid= x-b3-parentspanid= x-b3-sampled= x-b3-flags= caller_file_name=TomcatWebServer.java serverEventDatetime="2025-04-01 22:10:16,577" logLevel=INFO threadName=main  message="Tomcat started on port 8003 (http) with context path '/api'" exception="" callerLine=243 callerMethod="Caller+0	 at org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start(TomcatWebServer.java:243)u2028Caller+1	 at org.springframework.boot.web.servlet.context.WebServerStartStopLifecycle.start(WebServerStartStopLifecycle.java:44)u2028Caller+2	 at org.springframework.context.support.DefaultLifecycleProcessor.doStart(DefaultLifecycleProcessor.java:323)u2028Caller+3	 at org.springframework.context.support.DefaultLifecycleProcessor$LifecycleGroup.start(DefaultLifecycleProcessor.java:510)u2028Caller+4	 at java.base/java.lang.Iterable.forEach(Iterable.java:75)u2028" loggerName="tWebServer" callerClass=o.s.b.w.embedded.tomcat.TomcatWebServer levelStr="INFO" levelInt="INFO" mdc= 
